numbers,app_name,size_bytes,price,all_ratings,current_ver__ratings,avg_user_rating,current_user_rating,latest_version,age_rating,genre,num_devices_sup,num_screenshot,num_languages
63,"Amazon App: shop, scan, compare, and read reviews",133688320,0,126312,22,3.5,3,9.10.0,4+,Shopping,37,5,8
64,Touchgrind,55205888,4.99,35735,378,4,4.5,1.5.1,4+,Games,40,0,0
65,ProPresenter Remote,46922752,4.99,410,7,3,2.5,4.8.1,4+,Utilities,37,5,1
66,iReal Pro - Music Book & Play Along,63283200,12.99,1390,143,4.5,5,7.0.1,4+,Music,37,5,33
67,NRJ Radio,53426176,0,38,2,3.5,5,5.2.6,4+,Music,37,5,4
68,Chase Mobile℠,39505920,0,233270,14625,4.5,4.5,2.61,4+,Finance,37,0,2
69,大辞林,210088960,21.99,64,0,4.5,0,4.1.1,4+,Reference,37,5,2
70,Allrecipes Dinner Spinner,36399104,0,109349,1540,3.5,5,6.3,12+,Food & Drink,37,5,1
71,新浪新闻-阅读最新时事热门头条资讯视频,115143680,0,2229,4,3.5,1,6.2.1,17+,News,37,0,1
72,MotionX GPS,56481792,1.99,14970,24,3.5,4.5,24.2,4+,Navigation,37,0,1
73,AccuWeather - Weather for Life,181941248,0,144214,2162,3.5,4,10.4.1,4+,Weather,37,1,43
74,"Mint: Personal Finance, Budget, Bills & Money",162891776,0,232940,683,4,4.5,5.9.0,4+,Finance,37,5,1
75,ABC News - US & World News + Live Video,98108416,0,48407,20,3,3.5,5.16,12+,News,37,0,1
76,Rowmote: Remote Control for Mac,54088704,0.99,5531,37,3.5,2.5,4.3,4+,Utilities,40,3,13
77,Peekaboo Barn,50155520,1.99,3393,77,4,4,5.1.0,4+,Education,43,5,1
78,Speedtest by Ookla,23936000,0,65016,274,3.5,5,3.8.2,4+,Utilities,38,4,17
79,Pocket God,145293312,0.99,187529,1071,4,4,1.48.2,9+,Entertainment,43,5,1
80,Nike+ Training Club - Workouts & Fitness Plans,140367872,0,33969,466,3.5,5,5.4.1,4+,Health & Fitness,37,0,17
81,Citi Mobile®,281244672,0,48822,193,3.5,4,8.5.0,4+,Finance,37,0,1
82,Phase 10 Pro - Play Your Friends!,66695168,1.99,59155,101,4.5,2.5,3.2.0,4+,Games,40,5,1
83,"Kindle – Read eBooks, Magazines & Textbooks",169747456,0,252076,80,3.5,4.5,5.11,4+,Book,37,5,9
84,MASH,41691136,1.99,4913,1,4,4,3.3.2,9+,Games,37,3,15
85,同花顺-炒股、股票,122886144,0,1744,0,3.5,0,10.10.46,4+,Finance,37,0,1
86,Wedding Dash Deluxe,55803904,0.99,16567,1155,4.5,4.5,2.29.13,4+,Games,43,4,1
87,Beer Pong Game,188956672,0,187315,9,2,4,17.05.15,17+,Games,37,5,9
88,Tempo - Metronome with Setlists,22185984,2.99,4781,1,4.5,5,3.9.2,4+,Music,37,5,10
89,Skat,66160640,3.99,94,4,4.5,4.5,11.0.10,4+,Games,37,0,1
90,Color Splash,28135424,0.99,29554,55,4,5,3.6.1,4+,Photo & Video,37,0,3
91,Zombieville USA,27962441,0.99,32988,2489,4,4,1.7,12+,Games,47,5,1
92,Skype for iPhone,133238784,0,373519,127,3.5,4,6.35.1,4+,Social Networking,37,0,32
93,Tumblr,151573504,0,334293,919,4,4,8.6,17+,Social Networking,37,5,16
94,iSwap Faces,27069440,1.99,2302,3,3.5,5,5.1,4+,Photo & Video,37,5,1
95,Match™ - #1 Dating App.,101259264,0,60659,57,3,2.5,17.05.01,17+,Social Networking,37,5,10
96,Tozzle - Toddler's favorite puzzle,168192000,2.99,2562,10,4,4.5,5.1,4+,Games,37,5,4
97,HomeBudget with Sync,17485824,4.99,3042,6,3.5,4,3.3.0,4+,Finance,37,5,11
98,Wind Meter,5234688,0.99,338,12,2.5,2,5,4+,Weather,43,0,1
99,Map My Run+ - GPS Running & Workout Tracker,237913088,2.99,16434,3,4.5,4.5,17.5.5,4+,Health & Fitness,37,0,9
100,Map My Ride+ - GPS Cycling & Route Tracker,233513984,2.99,10046,7,4.5,5,17.5.5,4+,Health & Fitness,37,0,9
101,"HuffPost - News, Politics & Entertainment",110420992,0,29107,85,3,4,11.2,12+,News,37,5,10
102,Phrase Party!,47774720,1.99,878,48,4,4.5,8.7.5,17+,Games,38,5,1
103,Minesweeper Classic,22259712,0.99,1140,20,3.5,3.5,3.6,4+,Games,37,4,1
104,Sally's Spa,431771648,2.99,35074,403,4.5,4,3.3.0,4+,Games,43,0,6
105,"CBS Sports App - Sports Scores, News, Stats, Watch",120357888,0,59639,11,3,2.5,10.2.2,17+,Sports,37,4,1
106,Brain Wave ™ - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience,90828800,4.99,2913,357,4,5,7.4,4+,Health & Fitness,43,5,1
107,iSwap Faces LITE,30796800,0,39722,0,3,0,5.1,4+,Photo & Video,37,5,1
108,DIRECTV,151397376,0,81006,25,3.5,3,4.9.705,4+,Entertainment,37,0,1
109,NYTimes Crossword - Daily Word Puzzle Game,46880768,0,53465,204,3.5,4,2.8.1,4+,Games,37,5,1
110,Doodle Jump,48741376,0.99,395261,88,4.5,4.5,3.17.6,4+,Games,37,0,1
111,LEDit – The LED Banner App,17145856,1.99,2021,147,4.5,4.5,3.5.1,4+,Utilities,37,4,12
112,niconico,25808896,0,182,0,3,0,6.52,17+,Entertainment,37,5,3
113,Fandango Movies - Times + Tickets,81924096,0,291787,589,4,5,8.6,4+,Entertainment,37,4,1
114,iCab Mobile (Web Browser),19451904,1.99,2441,4,4,5,9.9,17+,Utilities,38,4,12
115,iRagdoll - Ragdoll Physics,118683648,0.99,1372,25,4,4,1.8.3,12+,Games,37,2,1
116,Proloquo2Go - Symbol-based AAC,723764224,249.99,773,10,4,3.5,5.0.1,4+,Education,37,5,3
117,Dictionary.com Dictionary & Thesaurus,111275008,0,200047,177,4,4,7.1.3,4+,Reference,37,0,1
118,20 Minutes.fr - l'actualité en continu,109616128,0,112,0,3.5,0,5.0.11,12+,News,37,5,17
119,The Masters Tournament,120725504,0,148160,63,4.5,3.5,9.0.701,4+,Sports,37,5,1
120,myAT&T,68491264,0,108507,628,3,3,5.3,4+,Utilities,37,5,2
121,SFR TV,122153984,0,46,0,3,0,7.3.0,4+,Entertainment,37,5,1
122,"Shutterfly: Prints, Photo Books, Cards Made Easy",122315776,0,51427,874,4,5,7.7.0,4+,Photo & Video,37,5,1
123,StickWars,17010688,0.99,53821,165,3.5,4,1.8.9,12+,Games,43,1,1
124,Indeed Job Search,3691520,0,38681,563,4,4.5,4.3,4+,Business,37,3,28
125,World Cup Table Tennis™,31387648,0.99,17776,6,4,5,4.6.1,4+,Games,37,0,11
126,WhatsApp Messenger,135044096,0,287589,73088,4.5,4.5,2.17.22,4+,Social Networking,12,0,35
127,"iStudiez Pro – Homework, Schedule, Grades",55815168,2.99,7308,15,4,4.5,1.9.1,4+,Productivity,37,5,30
128,Zillow Real Estate - Homes for Sale & for Rent,132632576,0,342969,88478,4.5,4.5,10.4.5,4+,Lifestyle,37,5,1
129,2XL Supercross,270729216,4.99,6093,3,4,5,1.2.1,4+,Games,37,5,7
130,Pocket Tanks Deluxe,39827456,4.99,5452,39,4.5,4.5,2.3.1,9+,Games,38,5,1
131,Wells Fargo Mobile,57328640,0,43064,216,3,2.5,3.55,4+,Finance,37,0,2
132,radio.de - Der Radioplayer,40717312,0,64,9,4.5,5,4.0.5,4+,Music,37,5,14
133,AutoScout24 - mobile used & new car market,141136896,0,220,2,4.5,5,9.1.10,4+,Productivity,37,5,13
134,Sky Burger - Build & Match Food Free,146228224,0,114096,2157,4.5,4,3.0.3,4+,Games,37,5,3
135,MindNode – Delightful Mind Mapping,52294656,9.99,1296,4,4,5,4.5.3,4+,Productivity,37,4,13
136,Packing Pro,16332800,2.99,1293,31,4,5,12.2,4+,Travel,37,5,11
137,USAA Mobile,164382720,0,19946,13,4,2.5,7.32.3,4+,Finance,37,5,1
138,The Moron Test,45712384,0,88613,392,4,4.5,6.3.1,4+,Entertainment,37,5,1
139,Sunday Lawn,16086016,0.99,107727,55,3.5,4.5,1.41.1,4+,Games,37,3,1
140,Peggle Classic,223805440,0.99,21416,974,4.5,4.5,1.7.2,4+,Games,43,0,5
141,SmartGo Player,22159360,2.99,533,27,4,4,2.5.1,4+,Games,37,3,9
142,I Am T-Pain 2.0,20542280,2.99,32650,754,3.5,3.5,2.0.4,12+,Music,43,1,1
143,TextNow - Unlimited Text + Calls,130637824,0,164963,69,3.5,4,8.5.1,4+,Social Networking,37,5,3
144,Boating Weather,8900608,1.99,141,15,3,3,4.5,4+,Weather,40,0,1
145,Best Buy,180500480,0,80424,46,4,4.5,10.11.0,4+,Shopping,37,5,2
146,I Dig It,19853312,0.99,17190,180,4,4.5,1.12,4+,Games,40,0,1
147,Unblock Me,42926080,0.99,7973,127,4,5,1.5.95,4+,Games,40,5,15
148,Sonic The Hedgehog,36692992,2.99,19621,1191,4,4.5,2.1.2,4+,Games,37,5,1
149,10 Pin Shuffle Pro Bowling,36647936,3.99,7315,138,4,4.5,2.01,4+,Games,37,5,6
150,Sky News,91697152,0,118,0,3,0,4.6,12+,News,37,5,1
151,"ESPN: Get scores, news, alerts & watch live sports",51538944,0,290996,150,3.5,3.5,5.7.1,4+,Sports,37,5,2
152,LiveATC Air Radio,8302592,3.99,2785,90,4,4,1.9.0,4+,Travel,37,5,26
153,The Sims 3,430128128,6.99,54408,65,3.5,2,1.4.10,12+,Games,37,5,8
154,"Chess Pro with Coach - Learn,Play & Online Friends",69960704,9.99,8138,107,4,4.5,2.89,4+,Games,37,5,13
155,Guess My Age  Math Magic,767126,0,123190,68841,3,3,1.1,4+,Education,47,0,1
156,Crush the Castle,12996628,0.99,23810,582,3.5,4,1.5,12+,Games,45,0,1
157,2016 U.S. Open Golf Championship,139545600,0,54192,32,4,2,8.0.263,4+,Sports,37,0,1
158,"The Championships, Wimbledon 2016 - Tennis Grand Slam",130394112,0,20953,481,4,4,8.1,4+,Sports,37,5,1
159,TuneIn Radio Pro - MLB Audiobooks Podcasts Music,101925888,9.99,71609,99,4.5,4,11.9,12+,Music,37,4,14
160,NBC News,52951040,0,32881,7,3.5,2,5.11.0,12+,News,37,5,1
161,"Grindr - Gay and same sex guys chat, meet and date",80409600,0,23201,14,2.5,2,3.9.1,17+,Social Networking,37,5,5
162,Whole Foods Market,137312256,0,17906,4,3,3,8.3.17,4+,Shopping,37,5,1
163,NAVIGON Europe,144412672,74.99,927,3,3.5,2.5,2.17,4+,Navigation,37,2,21
164,Virtual Families,27746273,1.99,18920,3014,3.5,4.5,1.1.2,9+,Games,47,0,1
165,Sparkasse+,119648256,0.99,30,0,3,0,3.1.3,4+,Finance,37,0,3
166,Sparkasse - Your mobile branch,119574528,0,77,1,3,4,3.1.3,4+,Finance,37,0,3
167,Sleep Cycle alarm clock,79315968,0,104539,11,4.5,4.5,5.4.1,4+,Health & Fitness,37,5,13
168,FACEinHOLE®,12818432,0.99,4016,1,4,5,5.7,12+,Photo & Video,37,5,1
169,Harvest - Select the Best Produce,18165760,1.99,299,28,4,4.5,3.1,4+,Food & Drink,38,0,1
170,WORMS,253834240,1.99,5758,9,4,3,2.6,12+,Games,40,0,1
171,Pixel Starships™ : 8Bit MMORPG,69083136,0,5565,140,4.5,4.5,0.39,9+,Games,37,5,17
172,Traffic Rush,8573952,0.99,213092,51,3.5,4.5,1.45.1,9+,Games,37,3,1
173,MyRadar NOAA Weather Radar Forecast,127284224,0,150158,3392,4.5,5,5.1.4,4+,Weather,37,2,8
174,Resident Evil 4: PLATINUM,81374398,4.99,6046,446,4,4,1.04.10,12+,Games,47,0,1
175,"Waze - GPS Navigation, Maps & Real-time Traffic",94139392,0,345046,3040,4.5,4.5,4.24,4+,Navigation,37,5,36
176,Cartoon Wars,13216994,0.99,35930,262,3.5,4,114,12+,Games,43,0,1
177,Moto X Mayhem,21010210,0.99,22557,526,4,4,1.8.7,4+,Games,47,0,1
178,Fantasy Football Manager - FFM for FPL,35998720,0.99,292,1,3,5,9.3,17+,Sports,37,1,1
179,Spotify Music,132510720,0,878563,8253,4.5,4.5,8.4.3,12+,Music,37,5,18
180,McDo France,37001216,0,22,0,3.5,0,4.0.16,4+,Food & Drink,37,0,30
181,PGA Championship 2016 – Baltusrol Golf Club,64147456,0,10472,58,3.5,2,8.1,17+,Sports,37,5,1
182,BFMTV : l'info en continu,100779008,0,115,70,4,5,5.0.3,17+,News,37,4,1
183,"MyRadar Pro NOAA Weather Radar, Forecasts & Storms",123718656,1.99,13915,205,4.5,5,5.1.4,4+,Weather,37,2,8
184,Spider:  The Secret of Bryce Manor,126312448,1.99,6780,68,4,4.5,1.5,9+,Games,38,0,5
185,My Measures PRO,79882240,7.99,1701,35,4,4.5,6.06,4+,Productivity,37,5,21
186,Food Additives Checker (E Numbers),6418432,1.99,6,0,3.5,0,4.1.2,4+,Health & Fitness,37,0,8
187,SFR Mon Compte,74093568,0,19,0,3,0,6.4.0,4+,Utilities,37,5,1
188,Baby Connect (Activity Log),12937216,4.99,3483,79,4.5,5,5.4.3,4+,Medical,37,0,14
189,Epson iPrint,53388288,0,2838,26,3,2.5,6.3.1,4+,Photo & Video,37,5,12
190,Mad Libs,118498304,0,117889,725,3,4.5,3.3.3,4+,Entertainment,38,1,1
191,BATTLE BEARS: Zombies!,103197675,0.99,50710,309,3.5,4,1.6.7,9+,Games,45,0,1
192,Hurricane Tracker,24574976,2.99,3960,0,4.5,0,5,4+,Weather,37,0,1
193,NFL Sunday Ticket,96093184,0,24258,305,3,2.5,2.6.042,4+,Entertainment,37,0,1
194,2016 US Open Tennis Championships,77700096,0,37522,39,4,3,8.0.353,4+,Sports,37,4,1
195,Dropbox,180804608,0,49578,16,3.5,3,50.2,4+,Productivity,37,5,20
196,Wa Kingyo - Goldfish Pond,56397824,0.99,626,44,4,5,2.0.3,4+,Entertainment,38,5,2
197,Monkey Preschool Lunchbox,229272576,1.99,9286,49,4,3.5,4.02,4+,Games,38,5,1
198,Yahoo Fantasy Sports,131000320,0,190670,19,3.5,2.5,9.1.0,17+,Sports,37,3,45
199,Gaia GPS Classic,53097472,19.99,2429,8,4.5,3.5,10.9.13,4+,Navigation,37,5,16
200,iLoan Calc (Loan calculator),3375104,3.99,0,0,0,0,5.1.0,4+,Finance,37,5,3
201,Geocaching®,108166144,0,12811,134,3.5,1.5,5.3,4+,Navigation,37,0,22
202,Camera+,89187328,1.99,32338,261,4,4.5,9.1,4+,Photo & Video,37,0,10
203,Alter Ego,13647872,4.99,262,43,4,4,1.3.0,12+,Games,40,5,1
204,Parking Mania,123544576,0.99,9657,47,4.5,4.5,2.5.0,4+,Games,38,0,12
205,Sudoku⁺,1608704,2.99,18332,1007,4.5,5,3.4,4+,Games,37,5,2
206,Period Tracker Lite,50169856,0,53620,2872,4,5,9.5.1,12+,Health & Fitness,38,0,15
207,Camera Plus: For Macro Photos & Remote Photography,101181440,0.99,38533,36,2.5,3.5,4.5.4,4+,Photo & Video,37,4,11
208,The perfect Egg timer,15329280,0.99,40,0,3.5,0,1.8.9,4+,Food & Drink,37,4,7
209,Letter Quiz - alphabet tracing for kids,31845376,1.99,472,0,4,0,2.4,4+,Games,37,5,1
210,Starbucks,135032832,0,303856,7027,4.5,4.5,4.3.5,4+,Food & Drink,37,0,2
211,央视影音-海量央视内容高清直播,54648832,0,2070,0,2.5,0,6.2.0,4+,Sports,37,0,1
212,Bloons TD,8432232,2.99,7941,76,4,3.5,1.2.1,4+,Games,47,0,1
213,Weight Watchers,230720512,0,136833,64,3.5,4.5,5.9.0,12+,Health & Fitness,37,5,6
214,"CNN: Breaking US & World News, Live Video",80211968,0,112886,298,3.5,1.5,5.3,12+,News,37,1,1
215,Gilt,148201472,0,26353,3,3.5,2.5,5.1.3,4+,Shopping,37,5,2
216,TRUTH or DARE!!! - FREE,20795392,0,171055,31,3,3.5,5,12+,Entertainment,38,1,1
217,Canabalt,27934720,2.99,4540,140,4,4.5,2.31,9+,Games,43,5,15
218,Alipay - Makes Life Easy,208309248,0,1926,2,3,3,10.0.15,4+,Lifestyle,38,5,3
219,Scanner911 Pro,33812480,3.99,14345,100,4,2.5,4,12+,News,37,0,1
220,Daily Teachings,20298752,4.99,1340,288,4.5,5,1.7.3,4+,Lifestyle,38,0,1
221,Scanner Pro - PDF document scanner app with OCR,101346304,3.99,31912,154,4.5,5,7.1.3,4+,Business,37,5,9
222,Twitter,210569216,0,354058,452,3.5,4,6.79.1,17+,News,37,2,33
223,"Trainline UK: Live Train Times, Tickets & Planner",110198784,0,248,0,4,0,22,4+,Travel,37,4,1
224,CBS News - Watch Free Live Breaking News,78047232,0,11691,44,3.5,4.5,3.5.1,12+,News,37,5,1
225,iOvilus,9946112,1.99,381,6,3,2,iOV 2.1.3,12+,Entertainment,38,0,1
226,The Impossible Quiz!,44652544,0,18884,451,4,4.5,1.62,9+,Entertainment,37,0,1
227,WolframAlpha,30369792,2.99,7410,82,4,4.5,1.7.3,9+,Reference,37,5,1
228,Catan,376171520,1.99,15175,308,4,4,4.6.2,4+,Games,38,0,6
229,ScanBizCards Business Card Reader,96815104,0.99,3166,34,4,4.5,6.08,4+,Business,37,5,5
230,"Walgreens – Pharmacy, Photo, Coupons and Shopping",169138176,0,88885,333,4.5,4,6.5,12+,Shopping,37,5,1
231,King of Dragon Pass,364490752,9.99,882,85,5,5,2.3.2,12+,Games,43,5,1
232,Stylebook,44135424,3.99,1729,599,4,4.5,7,17+,Lifestyle,37,5,3
233,NBA,112074752,0,43682,19,3.5,2.5,2013.4.3,4+,Sports,37,5,1
234,Blower,98942976,0.99,861,70,2,2.5,4.2,4+,Entertainment,40,4,1
235,My Cycles Period and Ovulation Tracker,77686784,0,7469,68,3.5,5,5.10.3,12+,Health & Fitness,37,0,2
236,"Kmart – Download Now, Shop Online & Pick Up Today!",94496768,0,4186,6,3.5,4.5,17,4+,Shopping,37,0,1
237,优酷视频,204959744,0,4885,0,3.5,0,6.7.0,12+,Entertainment,38,0,2
238,DOOM Classic,32796672,4.99,3970,509,4,4,2.7,17+,Games,40,3,5
239,SoundCloud - Music & Audio,105009152,0,135744,594,4,4.5,5.6.0,4+,Music,37,4,7
240,imo video calls and chat,22562816,0,18841,0,4,0,7.0.84,4+,Social Networking,38,2,29
241,Plane Finder - Flight Tracker,52632576,3.99,1438,171,4,4,9.4.1,4+,Navigation,37,3,10
242,"Runtastic Running, Jogging and Walking Tracker",151388160,0,10298,7,4.5,3.5,7.3,4+,Health & Fitness,37,0,15
243,iFiles,47323136,0.99,1842,23,3.5,2.5,1.17.11,4+,Productivity,38,1,1
244,TeachMe: Kindergarten,59846656,1.99,2548,5,4,4,4.2.2,4+,Education,37,5,1
245,Moorhuhn Deluxe - Crazy Chicken,27807744,0.99,319,12,3,5,2.8.0,12+,Games,38,5,5
246,Victoria’s Secret – The Sexiest Bras & Lingerie,60976128,0,34507,38,3.5,5,5.2.1,12+,Shopping,37,0,1
247,MONOPOLY Game,194386944,0.99,26482,331,3.5,2.5,1.4.04,4+,Games,37,0,6
248,n-tv Nachrichten,49470464,0,273,0,3,0,5.25,12+,News,37,5,1
249,Shazam Encore,147118080,2.99,8331,24,4,3.5,11.0.2,12+,Music,37,3,15
250,Harry Potter: Spells,125411328,0.99,17023,916,4,4.5,2.2,4+,Games,40,0,1
251,First Words Deluxe,63316992,4.99,1101,8,4,4,7,4+,Games,38,5,1
252,Clay Hunt,15313920,0.99,1193,1,4,2,3.5.3,17+,Games,40,5,1
253,Dream Team - be your own fantasy football manager,69816320,0,35,0,2.5,0,12.8.0,17+,Sports,37,3,1
254,Jet Car Stunts,32848910,1.99,4088,436,4,4.5,1.5.0,4+,Games,47,4,1
255,Call of Duty: Zombies,52821364,4.99,63943,31264,4,4,1.5.0,17+,Games,47,0,1
256,"Walmart: Free 2-Day Shipping,* Easy Store Shopping",146507776,0,70286,51,3,4,17.8,4+,Shopping,37,0,1
257,AirWatch Agent,24747008,0,1150,0,2.5,0,5.5,4+,Business,37,5,19
258,Shop Savvy Barcode Scanner - Price Compare & Deals,89517056,0,54630,280,2.5,4.5,12,4+,Shopping,37,4,1
259,Voice Changer Plus,40722432,0,98777,233,3,4,5.01,4+,Entertainment,37,2,12
260,CatPaint,73332736,0.99,649,11,4,4,3.5.1,4+,Photo & Video,37,5,1
261,Redbox,83906560,0,60236,58,3,4.5,5.24,12+,Entertainment,37,0,1
262,クックパッド - No.1料理レシピ検索アプリ,76644352,0,115,0,3.5,0,17.5.1.0,4+,Food & Drink,37,5,1
263,Trenches,37340259,0.99,26732,1428,4,4.5,1.9.3,17+,Games,43,0,1
264,The Christmas List,26137600,1.99,2722,1,4.5,5,2.1,4+,Shopping,37,0,1
265,Macy's,107816960,0,11013,76,3.5,5,5.11.0,4+,Shopping,37,0,1
266,Calorie Counter & Diet Tracker by MyFitnessPal,152700928,0,507706,181,4.5,4.5,7.16,4+,Health & Fitness,37,5,19
267,BlaBlaCar - Trusted Carpooling,112024576,0,397,0,4.5,0,4.10.1,4+,Travel,37,0,16
268,Refills Calendar - Scheduler - Note,35864576,9.99,196,3,4,5,4.0.1,4+,Productivity,38,5,2
